,Unnamed: 0,station_id,station_name,station_latitude,station_longitude,state,city,neighbourhood
261,1448,233.0,4th Ave at E 12th St (Temporary Location),37.795913,-122.255547,California,Oakland,San Antonio
262,1488,118.0,Eureka Valley Recreation Center,37.7591769,-122.4369431,California,San Francisco,Castro District
263,1541,273.0,Fulton St at Ashby Ave,37.8555736618,-122.2635653615,California,Berkeley,LeConte
264,1544,222.0,10th Ave at E 15th St,37.7927143,-122.2487796,California,Oakland,San Antonio
265,1554,84.0,Duboce Park,37.7692005,-122.4338119,California,San Francisco,Western Addition
266,1571,220.0,San Pablo Ave at MLK Jr Way,37.8113514,-122.2734217,California,Oakland,San Pablo Gateway
267,1578,189.0,Genoa St at 55th St,37.8396488,-122.2717561,California,Oakland,Longfellow
268,1715,138.0,Jersey St at Church St,37.7509004,-122.4274114,California,San Francisco,Noe Valley
269,1753,315.0,Market St at 45th St,37.834174,-122.272968,California,Oakland,Longfellow
270,1754,187.0,Jack London Square,37.796248,-122.279352,California,Oakland,Jack London Square
271,1767,209.0,45th St at MLK Jr Way,37.8335577,-122.2674183,California,Oakland,
272,1865,188.0,Dover St at 57th St,37.8426295,-122.267738,California,Oakland,Lorin
273,1874,257.0,Fifth St at Delaware St,37.8704071155,-122.2996759415,California,Berkeley,
274,1962,231.0,14th St at Filbert St,37.8087498347,-122.28328228,California,Oakland,West Oakland
275,2003,203.0,Webster St at 2nd St,37.7951947644,-122.2739696503,California,Oakland,Jack London Square
276,2033,151.0,53rd St at Hollis St,37.8361823,-122.2871801,California,,
277,2039,191.0,Market St at 40th St,37.8305452,-122.2739367,California,Oakland,Longfellow
278,2070,308.0,San Pedro Square,37.336802,-121.8940901,California,San Jose,
279,2071,212.0,Mosswood Park,37.82489253,-122.2604365461,California,Oakland,Broadway Auto Row
280,2149,205.0,Miles Ave at Cavour St,37.8388,-122.258732,California,Oakland,Temescal
281,2409,150.0,Adeline St at 40th St,37.8312769,-122.2782669,California,,
282,2456,297.0,Locust St at Grant St,37.3229796,-121.8879312,California,San Jose,Washington
283,2499,159.0,24th St at Market St,37.8160598,-122.2782444,California,Oakland,West Oakland
284,2539,299.0,Bestor Art Park,37.3236779,-121.8741186,California,San Jose,
285,2549,236.0,Market St at 8th St,37.8036865,-122.282497,California,Oakland,Old Oakland Historic District
286,2614,249.0,Russell St at College Ave,37.8584732,-122.2532529,California,Berkeley,Elmwood
287,2728,271.0,San Pablo Park,37.8557833203,-122.2831267118,California,Berkeley,San Pablo Park
288,2842,361.0,Mendell St at Fairfax Ave,37.739853018,-122.3856554925,California,San Francisco,Bayview District
289,2865,362.0,Lane St at Revere Ave,37.7317266935,-122.3900556564,California,San Francisco,Bayview District
